card_id,user_id,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,12/22/2024,YES,2,24295,9/2/2024,2008,No
2731,825,Visa,Debit,12/20/2024,YES,2,21968,4/14/2024,2014,No
3701,825,Visa,Debit,2/24/2024,YES,2,46414,7/3/2024,2004,No
42,825,Visa,Credit,8/24/2024,NO,1,12400,1/3/2024,2012,No
4659,825,Mastercard,Debit (Prepaid),3/9/2024,YES,1,28,9/8/2024,2009,No
4537,1746,Visa,Credit,9/3/2024,YES,1,27500,9/3/2024,2012,No
1278,1746,Visa,Debit,7/22/2024,YES,2,28508,2/11/2024,2011,No
3687,1746,Mastercard,Debit,6/22/2024,YES,2,9022,7/3/2024,2015,No
3465,1746,Mastercard,Debit (Prepaid),11/20/2024,YES,2,54,6/10/2024,2015,No
3754,1746,Mastercard,Debit (Prepaid),2/23/2024,YES,1,99,7/6/2024,2012,No
5144,1718,Mastercard,Debit,3/22/2024,YES,2,31599,10/9/2024,2009,No
2029,1718,Mastercard,Debit,7/23/2024,NO,2,27480,3/2/2024,2008,No
2379,1718,Mastercard,Debit,2/20/2024,YES,1,26743,3/19/2024,2019,No
2732,1718,Visa,Debit,6/20/2024,YES,1,31463,4/14/2024,2014,No
4706,1718,Mastercard,Debit,6/24/2024,YES,1,16055,9/9/2024,2009,No
281,708,Visa,Credit,5/15/2024,YES,2,98100,1/11/2024,2011,No
1106,708,Mastercard,Debit (Prepaid),6/20/2024,YES,1,62,2/7/2024,2007,No
5621,708,Visa,Debit,6/22/2024,YES,1,132439,11/10/2024,2011,No
5165,708,Visa,Debit,6/20/2024,YES,1,125723,10/9/2024,2010,No
5757,1164,Mastercard,Debit,1/22/2024,YES,1,34900,12/1/1999,2012,No
27,68,Visa,Credit,9/21/2024,YES,2,9900,1/2/2024,2019,No
4648,68,Visa,Debit,7/13/2024,YES,2,21587,9/7/2024,2007,No
5435,68,Visa,Credit,11/22/2024,YES,2,15800,11/5/2024,2011,No
3287,1075,Mastercard,Debit,4/22/2024,YES,1,29964,6/5/2024,2014,No
4761,1075,Mastercard,Credit,7/23/2024,YES,2,11200,9/10/2024,2010,No
5286,1075,Mastercard,Debit,12/21/2024,NO,2,26753,10/14/2024,2014,No
744,1711,Visa,Debit,5/23/2024,NO,2,17480,1/20/2024,2020,No
5559,1116,Mastercard,Debit,9/21/2024,YES,2,26546,11/9/2024,2009,No
4905,1116,Mastercard,Debit,1/21/2024,YES,1,23253,9/17/2024,2017,No
79,1116,Visa,Credit,2/21/2024,YES,1,16100,1/5/2024,2014,No
301,1116,Visa,Credit,2/21/2024,YES,2,8700,1/12/2024,2012,No
3115,1116,Mastercard,Debit,1/19/2024,YES,1,29333,5/12/2024,2012,No
3880,1752,Mastercard,Debit,7/24/2024,YES,2,9496,7/9/2024,2012,No
1766,192,Visa,Debit,7/21/2024,YES,1,25499,2/20/2024,2020,No
1767,192,Visa,Debit,2/20/2024,YES,1,18641,2/20/2024,2020,No
745,640,Visa,Debit,5/23/2024,YES,1,26019,1/20/2024,2020,No
1459,1679,Mastercard,Debit,1/21/2024,YES,1,25845,2/20/2024,2020,No
138,1094,Visa,Debit,6/23/2024,YES,2,2365,1/7/2024,2009,No
3755,1094,Mastercard,Debit,6/23/2024,YES,2,18684,7/6/2024,2017,No
1768,1094,Visa,Credit,2/21/2024,NO,2,7400,2/20/2024,2020,No
5924,1590,Mastercard,Debit,12/24/2024,YES,2,4147,12/8/2024,2016,No
6074,1660,Visa,Debit (Prepaid),4/22/2024,YES,1,76,12/12/2024,2012,No
5923,1660,Discover,Credit,1/9/2024,NO,1,4700,12/8/2024,2014,No
4223,1660,Visa,Credit,6/21/2024,YES,2,5800,8/7/2024,2011,No
4455,1660,Mastercard,Debit,3/24/2024,YES,2,12082,8/16/2024,2016,No
3234,1660,Mastercard,Credit,3/23/2024,NO,2,6000,6/2/2024,2010,No
1005,1660,Visa,Debit,11/9/2024,YES,1,620,2/2/2024,2014,No
151,1747,Mastercard,Debit,8/22/2024,YES,1,14499,1/8/2024,2008,No
4198,1747,Mastercard,Debit,7/23/2024,YES,2,12332,8/7/2024,2009,No
4403,1747,Mastercard,Debit,9/24/2024,YES,1,18424,8/13/2024,2013,No
4120,1747,Visa,Credit,7/23/2024,NO,1,15400,8/3/2024,2008,No
4224,1747,Visa,Debit,2/22/2024,YES,2,14548,8/7/2024,2013,No
4895,1747,Mastercard,Credit,12/16/2024,YES,2,10100,9/16/2024,2016,No
1028,153,Discover,Credit,4/11/2024,YES,1,11200,2/4/2024,2008,No
5956,153,Mastercard,Debit,10/24/2024,YES,2,20291,12/9/2024,2011,No
107,153,Visa,Debit,8/18/2024,YES,1,32092,1/6/2024,2010,No
440,153,Mastercard,Debit,2/20/2024,YES,1,20463,1/20/2024,2020,No
746,429,Visa,Debit,8/22/2024,YES,1,15802,1/20/2024,2020,No
1769,429,Visa,Debit,2/20/2024,NO,2,4612,2/20/2024,2020,No
421,429,Discover,Credit,7/20/2024,YES,2,19900,1/20/2024,2020,No
974,511,Mastercard,Debit (Prepaid),10/20/2024,YES,1,73,2/1/2000,2012,No
4707,511,Mastercard,Debit,1/24/2024,YES,1,11858,9/9/2024,2010,No
7,511,Mastercard,Debit,3/5/2024,YES,1,9664,1/1/1998,2011,No
2212,511,Mastercard,Debit,6/20/2024,YES,1,8367,3/9/2024,2009,No
1038,511,Visa,Credit,6/22/2024,YES,2,6100,2/4/2024,2009,No
1460,309,Mastercard,Debit,2/20/2024,YES,3,9944,2/20/2024,2020,No
747,309,Visa,Credit,1/20/2024,YES,1,7900,1/20/2024,2020,No
1770,309,Visa,Credit,12/20/2024,YES,1,5600,2/20/2024,2020,No
748,777,Visa,Debit,8/23/2024,YES,1,68400,1/20/2024,2020,No
441,777,Mastercard,Debit,4/23/2024,YES,2,77237,1/20/2024,2020,No
3679,1946,Visa,Debit,8/24/2024,YES,2,4488,7/2/2024,2015,No
